time	Qc0	Qc1	Qc2	Qc3
0	-0.037248924	-0.438865065	-0.720140781	-0.272465674
0.02	-0.382875541	0.390841349	0.62368157	-0.103930327
0.04	0.244408181	0.532826342	-0.019315115	0.257049149
0.06	0.299395972	0.250079923	0.099326576	0.822714081
0.08	-0.723377959	0.31861767	-0.910185729	0.039338596
0.1	0.476623539	-0.447953437	0.892971345	-0.621744144
0.12	-0.365352557	0.906947409	0.307633304	-0.76071011
0.14	-0.091983678	-0.956487184	-0.279027673	0.316092663
0.16	-0.61862535	0.652201892	-0.485634798	0.775111465
0.18	0.58570612	-0.573978893	-0.572195581	0.429975849
0.2	-0.721893501	0.379643905	0.186606164	-0.365911839
0.22	0.745169651	0.049801261	-0.741614675	0.512725185
0.24	0.445994235	0.803770772	0.364009094	0.481024824
0.26	0.95433904	0.137098165	0.700515646	-0.781647095
0.28	0.030816992	-0.672189392	0.0244491	0.830011252
0.3	-0.86477234	0.115329023	-0.183285122	-0.743217622
0.32	-0.116150942	0.221960528	0.686527234	0.231926523
0.34	0.15248883	0.873859635	-0.649709734	-0.373578195
0.36	0.022435648	0.025066929	0.146294039	-0.758586899
0.38	0.801393227	0.340721537	-0.534928286	0.089558264
0.4	-0.06101397	0.495487177	-0.300210379	0.968614613
0.42	0.885193833	0.206812864	-0.441325087	0.97268809
0.44	0.426526839	0.360643657	0.118827787	0.610876849
0.46	0.79106436	-0.551297771	0.316142579	0.050229875
0.48	-0.280146637	-0.802665725	0.259991483	-0.072125185
0.5	-0.00054776	-0.563474045	0.174095546	-0.537458897
0.52	0.008174191	0.989018879	-0.82428821	0.761391542
0.54	-0.977984957	-0.716282204	-0.476156359	-0.25390669
0.56	0.050753463	0.093720913	0.364802258	-0.737804932
0.58	-0.581590176	0.267214447	0.543811677	0.694649141
0.6	0.485067859	0.583523578	0.489926252	-0.832029208
0.62	0.30345746	-0.05514035	0.945041176	0.920541927
0.64	-0.583995979	0.34307354	-0.471931939	-0.432856187
0.66	-0.458653821	0.79974006	-0.233159652	0.315487502
0.68	-0.642181915	-0.399760843	0.544856905	0.113741892
0.7	0.514628876	0.754688938	0.65024745	-0.859980003
0.72	-0.598618617	-0.714835814	0.39296819	-0.065373299
0.74	0.249175438	-0.604170217	-0.045804533	-0.181803147
0.76	0.214549273	0.477786793	0.186971319	0.996225648
0.78	-0.949071841	-0.112042414	-0.640024288	-0.901970487
0.8	-0.011837894	0.02542213	-0.586570081	-0.145996338
0.82	0.164379623	-0.161439155	-0.460708948	-0.115118659
0.84	0.041058352	0.310699765	0.612187301	-0.669406823
0.86	-0.019434716	-0.931584392	-0.318793189	0.267145019
0.88	-0.314008609	-0.766419444	-0.521316505	0.966711852
0.9	-0.03146057	-0.867674601	0.839542913	-0.763550121
0.92	-0.285646533	-0.529037372	0.800403273	0.096384963
0.94	-0.128038258	-0.784743984	0.976653975	0.46568196
0.96	-0.878296043	-0.399933083	0.167719573	0.349057031
0.98	-0.012061758	-0.162861386	-0.065235506	-0.378317757
1	-0.188743461	-0.683460011	0.519091546	0.864760636
1.02	0.169065737	-0.938669443	-0.26390967	-0.747156648
1.04	0.89763398	-0.680372251	-0.25944783	-0.426261338
1.06	-0.890894625	0.587344662	0.087223466	-0.738819579
1.08	-0.247643884	0.165784805	-0.874650163	-0.215182805
1.1	0.31472632	-0.966914959	0.221888898	-0.593825169
1.12	0.318834613	0.011103889	-0.788420112	0.170822122
1.14	0.061173521	-0.064818978	0.74767772	-0.399159946
1.16	-0.34818286	0.07709751	0.449309589	-0.482166619
1.18	-0.103451009	0.003783465	0.394082692	-0.073998824
1.2	0.666595289	0.483306941	0.249475652	0.326560189
1.22	0.428282945	-0.727761391	-0.17008168	0.136272149
1.24	-0.528030607	0.912695903	-0.901589209	0.060340765
1.26	-0.916797313	-0.631692893	0.773625827	-0.563690047
1.28	-0.168982816	0.600292184	0.883864843	-0.080113029
